base_cardName,index,base_displayName,Brain Region,base_cardType,base_cardWeight,base_price,Color,Category,Biological Mechanism,Effects,Special Conditions,CardType
FearVirus,1,恐惧病毒,amygdala,Attack,1,1,红色,电子程序,激活杏仁核的威胁检测通路，释放促肾上腺皮质激素释放因子（CRF），抑制前额叶理性判断,对目标造成「情绪干扰」：使其当前回合 RV（理性值）-3，AV（杏仁核值）+2,若目标 RV≤5，额外触发「恐慌效应」：强制丢弃 2 张手牌,Attack
AdrenalineSurge,2,肾上腺素激增,amygdala,Gain,1,1,红色,生物药剂,交感神经兴奋促使肾上腺髓质释放肾上腺素，增强杏仁核的情绪记忆编码,立即获得 AV+4，本回合攻击伤害 + 50%,下一回合 DM（多巴胺值）-2,Gain
DopamineAntagonist,3,多巴胺拮抗剂,nucleus_accumbens,Attack,1,1,金色,电子程序,阻断伏隔核 D1 受体，抑制中脑边缘多巴胺通路的奖赏信号传递,对目标造成「动机衰减」：使其 DM-3，且本回合无法通过行动获得资源,若目标 DM≤3，额外触发「习得性无助」：跳过下一回合,Attack
PleasureAddiction,4,愉悦成瘾,nucleus_accumbens,Gain,1,1,金色,生物药剂,伏隔核壳区的多巴胺爆发式释放，强化重复行为的神经可塑性,立即获得 DM（多巴胺值）+3，本回合每使用 1 张红色牌，额外抽 1 张牌,永久降低 RV 上限 1,Gain
CognitiveOverload,5,认知超载,cortex,Attack,1,1,蓝色,电子程序,背外侧前额叶（DLPFC）的神经元活动过载，导致工作记忆容量下降,对目标造成「信息过载」：使其 RV-4，手牌上限 - 2,若目标 RV≤8，额外触发「决策瘫痪」：本回合无法使用事件卡,Attack
RationalMatrix,6,理性矩阵,cortex,Gain,1,1,蓝色,电子程序,内侧眶额叶（MOFC）与杏仁核的功能连接增强，提升情绪 - 理性整合能力,立即获得 RV+4，抽 2 张牌,本回合受到的情绪类攻击（如 AV 相关伤害）减少 30%,Defense
MemoryTampering,7,记忆篡改,hippocampus,Attack,1,1,紫色,生物药剂,海马体 CA3 区的突触可塑性被干扰，导致记忆关联错误,对目标造成「记忆混乱」：移除其 MV（记忆值）-2，且本回合所有行动效果反转,若目标 MV≤5，额外触发「记忆碎片」：随机丢弃 1 张手牌,Attack
ExperienceDownload,8,经验下载,hippocampus,Gain,1,1,紫色,电子程序,海马体 θ 波调制的 γ 同步振荡增强皮层记忆印迹网络的整合能力,立即获得 MV+3，复制 1 张手牌,若复制的是事件卡，额外获得该事件卡的效果,Event


